Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
BRAGANÇA,Mirandela,http://www.cm-mirandela.pt,https://arquivo.pt/wayback/http://www.cm-mirandela.pt,Mirandela,https://www.facebook.com/municipio.mirandela/,,,,,,,,,,,
BRAGANÇA,Mogadouro,http://mogadouro.pt/,https://arquivo.pt/wayback/http://mogadouro.pt/,Mogadouro,https://www.facebook.com/municipiodemogadouro.pt/,,,,,,,,,,,
BRAGANÇA,Torre de Moncorvo,http://www.torredemoncorvo.pt,https://arquivo.pt/wayback/http://www.torredemoncorvo.pt,Torre de Moncorvo,https://www.facebook.com/municipiotorredemoncorvo/,,,,,,,,,,,
BRAGANÇA,Vila Flor,http://www.cm-vilaflor.pt,https://arquivo.pt/wayback/http://www.cm-vilaflor.pt,Vila Flor,https://www.facebook.com/municipiodevilaflor/,,,,,,,,,,,
BRAGANÇA,Vimioso,http://www.cm-vimioso.pt,https://arquivo.pt/wayback/http://www.cm-vimioso.pt,Vimioso,https://www.facebook.com/municipiovimioso/,,,,,,,,,,,
BRAGANÇA,Vinhais,http://www.cm-vinhais.pt,https://arquivo.pt/wayback/http://www.cm-vinhais.pt,Vinhais,https://www.facebook.com/cmvinhais/,,,,,,,,,,,
CASTELO BRANCO,Belmonte,http://www.cm-belmonte.pt,https://arquivo.pt/wayback/http://www.cm-belmonte.pt,Belmonte,https://www.facebook.com/belmonte.municipio/,,,,,,,,,,,
CASTELO BRANCO,Castelo Branco,https://www.cm-castelobranco.pt/,https://arquivo.pt/wayback/https://www.cm-castelobranco.pt/,Castelo Branco,https://www.facebook.com/cb.acontece/,,,,,,,,,,,
CASTELO BRANCO,Covilhã,http://www.cm-covilha.pt,https://arquivo.pt/wayback/http://www.cm-covilha.pt,Covilhã,https://www.facebook.com/covilhamunicipio/,,,,,,,,,,,
CASTELO BRANCO,Fundão,http://www.cm-fundao.pt,https://arquivo.pt/wayback/http://www.cm-fundao.pt,Fundão,https://www.facebook.com/MunicipiodoFundao/,,,,,,,,,,,
